Column 1,Column 2,Column 3,Column 4
002-LEC,MoWeFr 3:00PM - 3:50PM,ERB 130,Ronald Eugene Cross
CSE 5328 - SOFTWARE ENGINEERING TEAM PROJECT I,,,
001-LEC,MoWe 7:00PM - 8:20PM,WH 208,David C Kung
CSE 5329 - SOFTWARE ENGINEERING TEAM PROJECT II,,,
003-LEC,TBA,TBA,David C Kung
033-LEC,TBA,TBA,David C Kung
CSE 5330 - DATABASE SYSTEMS,,,
001-LEC,MoWe 4:00PM - 5:20PM,COBA251,Dimitrios Zikos
002-LEC,MoWe 10:30AM - 11:50AM,ERB 131,Dimitrios Zikos
003-LEC,Sa 1:00PM - 4:00PM,ERB 129,Ranjan Dash
CSE 5331 - DBMS MODELS AND IMPLEMENTATION TECHNIQUES,,,
002-LEC,TuTh 12:30PM - 1:50PM,NH 111,Upendranath Chakravarthy
CSE 5334 - DATA MINING,,,
001-LEC,TuTh 2:00PM - 3:20PM,UH 121,Chengkai Li
002-LEC,TuTh 2:00PM - 3:20PM,PKH 321,Saravan Thirumuruganathan
CSE 5335 - WEB DATA MANAGEMENT & XML,,,
001-LEC,TuTh 5:30PM - 6:50PM,ERB 130,Leonidas Fegaras
002-LEC,MoWe 4:00PM - 5:20PM,UH 25,Stephen Perry Emmons
CSE 5343 - REAL-TIME DATA ACQUISITION AND CONTROL SYSTEMS,,,
002-LEC,TuTh 9:30AM - 10:50AM,ERB 130,Roger S Walker
CSE 5344 - COMPUTER NETWORKS,,,
001-LEC,TuTh 2:00PM - 3:20PM,NH 112,James M O'Dell
002-LEC,MoWe 5:30PM - 6:50PM,NH 109,Hao Che
003-LEC,TuTh 3:30PM - 4:50PM,NH 108,James M O'Dell
CSE 5345 - FUNDAMENTALS OF WIRELESS NETWORKS,,,
001-LEC,TuTh 12:30PM - 1:50PM,NH 109,Yonghe Liu
CSE 5349 - SPECIAL TOPICS IN NETWORKING,,,
001-LEC,TuTh 3:30PM - 4:50PM,NH 106,Taylor T Johnson
CSE 5364 - ROBOTICS,,,
001-LEC,MoWe 4:00PM - 5:20PM,SH 331,Gian-Luca Mariottini
CSE 5365 - COMPUTER GRAPHICS,,,
001-LEC,TuTh 7:00PM - 8:20PM,WH 210,Farhad A Kamangar
033-LEC,TBA,TBA,Farhad A Kamangar
CSE 5381 - INFORMATION SECURITY 2,,,
001-LEC,TuTh 3:30PM - 4:50PM,WH 308,Matthew Wright
CSE 5382 - SECURE PROGRAMMING,,,
002-LEC,Th 7:00PM - 9:50PM,NH 112,Ben Anthony Calloni
003-LEC,MoWe 7:00PM - 8:20PM,NH 106,David Levine
CSE 5384 - UNMANNED VEHICLE SYSTEM DEVELOPMENT,,,
001-LEC,TuTh 8:00AM - 9:20AM,NH 100,Manfred Huber
CSE 5442 - EMBEDDED COMPUTER SYSTEMS,,,
001-LEC,Fr 9:00AM - 11:50AM,NH 112,Gergely Zaruba
CSE 6311 - ADVANCED COMPUTATIONAL MODELS AND ALGORITHMS,,,
001-LEC,TuTh 3:30PM - 4:50PM,UH 13,Gautam Das
CSE 6324 - ADVANCED TOPICS IN SOFTWARE ENGINEERING,,,
001-LEC,MoWe 4:00PM - 5:20PM,ERB 103,Christoph Csallner
CSE 6329 - SPECIAL TOPICS IN ADVANCED SOFTWARE ENGINEERING,,,
001-LEC,Tu 5:30PM - 8:20PM,WH 208,Anam Charan Sahoo
CSE 6331 - ADVANCED TOPICS IN DATABASE SYSTEMS,,,
002-LEC,MoWe 5:30PM - 6:50PM,ERB 131,David Levine
003-LEC,TuTh 3:30PM - 4:50PM,PH 206,Upendranath Chakravarthy
004-LEC,MoWe 8:30PM - 9:50PM,ERB 130,David Levine
CSE 6339 - SPECIAL TOPICS IN ADVANCED DATABASE SYSTEMS,,,
001-LEC,Fr 4:00PM - 6:50PM,ERB 130,Chengkai Li
002-LEC,Fr 4:00PM - 6:50PM,ERB 130,Chris H Q Ding
CSE 6350 - ADVANCED TOPICS IN COMPUTER ARCHITECTURE,,,
001-LEC,MoWe 4:00PM - 5:20PM,NH 111,Hao Che
CSE 6367 - COMPUTER VISION,,,
001-LEC,TuTh 3:30PM - 4:50PM,WH 208,Farhad A Kamangar
CSE 6369 - SPECIAL TOPICS ADVANCED INTELLIGENT SYSTEMS,,,
002-LEC,TuTh 2:00PM - 3:20PM,PH 100,Fillia Makedon
CSE 6388 - SPECIAL TOPICS IN ADVANCED INFORMATION SECURITY,,,
001-LEC,TuTh 12:30PM - 1:50PM,UH 13,Matthew Wright
"CSE 6389 - SPECIAL TOPICS IN ADVANCED MULTIMEDIA, GRAPHICS, & IMAGE PROCESSING",,,
001-LEC,TuTh 11:00AM - 12:20PM,UH 16,Heng Huang
CSE 6392 - SPECIAL TOPICS IN ADVANCED COMPUTER SCIENCE,,,
001-LEC,Fr 4:00PM - 6:50PM,ERB 129,Junzhou Huang
